#{"t_start": 1736249810.1212168, "env_id": "None"}
r,l,t
-12.775822,200,129.073457
-63.90236,200,129.139308
-200.309497,200,129.205398
-1.155457,200,129.266608
-12.892827,200,129.332987
-81.168012,200,129.405654
-47.816852,200,129.47332
-35.894348,200,130.560694
-37.442641,200,130.623308
-206.927185,200,130.689538
-18.774649,200,130.742562
-1657.280498,200,130.805383
-0.877081,200,130.861343
-12.190431,200,130.906052
-43.73767,200,130.969248
-0.726108,200,131.021416
-24.602644,200,131.075644
-707.338714,200,132.064035
-1.330693,200,132.126401
-5.29094,200,132.194001
-32.314379,200,132.263897
-3.104857,200,132.322981
-7.823466,200,132.389033
-60.864624,200,132.442477
-7.681029,200,132.505401
-58.604425,200,132.564063
-8.754523,200,132.607289
-3.836486,200,133.607234
-3.358591,200,133.664156
-46.671363,200,133.725944
-72.308363,200,133.788527
-76.350679,200,133.84111
-7.186802,200,133.888472
-11.545968,200,133.938666
-68.070331,200,134.007527
-0.063085,200,134.063487
-10.686576,200,134.107717
-137.364426,200,134.17193
-62.118188,200,135.123567
-7.048428,200,135.172041
-1958.459944,200,135.24261
-887.592143,200,135.288694
-35.022998,200,135.357799
-156.447671,200,135.410268
-2.549316,200,135.472242
-42.917985,200,135.522023
-1.312812,200,135.588645
-8.862338,200,135.638589
-25.295899,200,136.671987
-1.395155,200,136.742047
-33.196342,200,136.80505
-189.803941,200,136.869961
-4.775136,200,136.921793
-13.1265,200,136.972295
-8.089588,200,137.022253
-8.910775,200,137.088247
-7.220074,200,137.154373
-319.097737,200,137.212936
-1.552215,200,138.121613
-35.164041,200,138.187844
-34.120584,200,138.238465
-230.407296,200,138.288854
-241.127387,200,138.37163
-0.016278,200,138.46476
-87.138337,200,138.522417
-0.479027,200,138.588458
-34.972301,200,138.6384
-34.35991,200,138.688921
-3.642823,200,139.705095
-0.097369,200,139.76694
-8.896623,200,139.857851
-0.998885,200,139.921956
-4.571634,200,139.988361
-79.345971,200,140.038534
-2.046802,200,140.105155
-27.962224,200,140.166711
-0.145695,200,140.221643
-1.715633,200,140.27546
-2.614812,200,140.321664
-9.301635,200,141.338663
-58.742003,200,141.388413
-2.556032,200,141.470964
-2.408115,200,141.53869
-5.673475,200,141.604799
-1156.908283,200,141.677071
-0.597132,200,141.754623
-4.817375,200,141.806477
-1.020761,200,141.871793
-39.693245,200,141.938335
-1.542931,200,143.121617
-24.33725,200,143.175364
-42.57537,200,143.238333
-1.731806,200,143.292026
-40.756364,200,143.362386
-2.255516,200,143.472238
-28.936019,200,143.607261
-1.01671,200,143.668581
-233.402783,200,143.721436
-12.238136,200,143.771385
-28.347992,200,144.888165
-31.419899,200,144.95661
-20.53744,200,145.004815
-129.778575,200,145.071504
-1382.423676,200,145.125417
-80.441787,200,145.204075
-33.102702,200,145.304662
-38.279587,200,145.464181
-1295.679047,200,145.571927
-6.173679,200,145.688128
-7.099724,200,146.771205
-7.87964,200,146.84158
-25.652249,200,146.921738
-37.063205,200,147.006816
-0.540558,200,147.071529
-26.419936,200,147.138016
-24.42383,200,147.204813
-7.308124,200,147.275409
-35.405536,200,147.404945
-0.725204,200,147.538276
-0.830395,200,147.671522
-1483.473712,200,149.071512
-0.524346,200,149.12115
-7.633624,200,149.171049
-29.891316,200,149.221181
-22.737252,200,149.288721
-1.925991,200,149.337968
-44.943206,200,149.387872
-5.900949,200,149.437984
-12.985107,200,149.487676
-6.549558,200,149.554173
-10.710267,200,150.971249
-1.199803,200,151.040401
-0.714668,200,151.087959
-56.177651,200,151.142102
-6.38374,200,151.204489
-1439.651026,200,151.258197
-3.791336,200,151.30447
-66.711706,200,151.366019
-113.896906,200,151.404271
-27.050805,200,151.472729
-44.48836,200,152.425216
-6.804098,200,152.486008
-4.050369,200,152.53937
-4.86185,200,152.604494
-2.007062,200,152.671354
-0.068014,200,152.723247
-119.213583,200,152.771929
-1.553395,200,152.82324
-9.040882,200,152.886397
-6.802204,200,152.937786
-0.352477,200,153.989013
-42.019498,200,154.055084
-1.554128,200,154.104592
-23.310252,200,154.171301
-3.0976,200,154.22311
-3.141964,200,154.271687
-12.04551,200,154.32314
-16.47729,200,154.387827
-0.641629,200,154.437672
-0.350212,200,154.48788
-2.013352,200,154.554138
-26.277735,200,155.470814
-5.442085,200,155.537883
-1.180859,200,155.604328
-0.158432,200,155.671124
-48.705777,200,155.73745
-34.89608,200,155.804206
-23.171944,200,155.871298
-19.129454,200,155.937619
-5.398969,200,155.987685
-0.794257,200,156.062708
-22.997595,200,157.121405
-4.38716,200,157.170979
-10.421163,200,157.226999
-0.408758,200,157.287975
-2.944985,200,157.337468
-37.979632,200,157.387596
-4.533489,200,157.437608
-3.499234,200,157.504289
-45.316248,200,157.559988
-13.603104,200,157.604207
-5.040367,200,158.571116
-0.658494,200,158.620784
-11.285427,200,158.670881
-7.157276,200,158.740457
-2.928788,200,158.804028
-23.305124,200,158.863959
-8.895764,200,158.904511
-8.53226,200,158.970299
-3.647881,200,159.020945
-11.163985,200,159.073134
-7.329247,200,160.104815
-2.951395,200,160.16372
-13.514905,200,160.23117
-1.656022,200,160.304013
-1.356783,200,160.362648
-19.928218,200,160.403925
-4.60784,200,160.470653
-0.658295,200,160.520726
-11.133085,200,160.571071
-13.113336,200,160.620932
-23.381205,200,160.674066
-1.182332,200,161.58737
-1.783904,200,161.656749
-0.330859,200,161.703879
-0.301967,200,161.765803
-0.061083,200,161.821042
-0.690682,200,161.870688
-3.683926,200,161.934488
-2.089581,200,161.987147
-51.043043,200,162.037361
-6.047999,200,162.087809
-4.163141,200,163.055687
-5.52963,200,163.104208
-8.408162,200,163.170419
